Pair_UID,X_unitNum,Y_unitNum,X_area,Y_area,XY_Dist,condition,alignedName,rhoRaw_50ms,pvalRaw_50ms,rhoRaw_150ms,pvalRaw_150ms,rhoRaw_200ms,pvalRaw_200ms,X_Y_visGrade,X_Y_visType,X_Y_moveGrade,X_Y_errGrade,X_Y_rewGrade,X_Y_poorIso,Y_visGrade,Y_visType,Y_moveGrade,Y_errGrade,Y_rewGrade,Y_poorIso,monkey,sessNum,sess,outcome,satCondition,epoch,sameAreaPair,sameChannelPair,pairCount,signifPlusRho,signifMinusRho,nonSignifRho
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastCorrect,Visual,-0.07227575,0.1754513,-0.02807569,0.5990779,-0.04554298,0.3936134,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastCorrect,PostSaccade,-0.001617817,0.9758372,-0.07932857,0.1368809,-0.08292681,0.1198968,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastCorrect,PostReward,-0.07101268,0.1831377,-0.05604126,0.2937133,-0.06439565,0.2274914,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,Correct,Fast,PostReward,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorChoice,Baseline,-0.07600849,0.4409158,-0.01689297,0.8641911,-0.04474442,0.6503812,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Baseline,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorChoice,Visual,-0.1065819,0.2791851,-0.1875837,0.0553398,-0.2204711,0.02382131,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorChoice,PostSaccade,-0.05124722,0.6036331,0.1517324,0.1223115,0.1316181,0.1807759,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorChoice,PostReward,-0.03948429,0.6892254,0.07755535,0.4316459,0.03338801,0.7352696,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorChoice,Fast,PostReward,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorTiming,Baseline,-0.03323973,0.8150371,0.01273742,0.9285879,-0.08195642,0.5635324,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Baseline,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorTiming,Visual,-0.005675599,0.9681467,-0.03256539,0.8187255,0.0331935,0.8152897,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,Visual,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorTiming,PostSaccade,-0.1311411,0.3540853,0.04897247,0.730269,0.01730595,0.9030809,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostSaccade,1,0,1,0,0,1
PAIR_0002,2,4,FEF,FEF,1.5214207176189,FastErrorTiming,PostReward,-0.01281131,0.9281747,-0.1895093,0.1784378,-0.1291126,0.3616438,4,none,3,0,0,0,0,none,0,0,0,0,D,2,D20130820002,ErrorTiming,Fast,PostReward,1,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateCorrect,Baseline,-0.005445195,0.9190325,0.01948453,0.7160261,0.04881802,0.3618284,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Accurate,Baseline,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateCorrect,Visual,-0.1794701,0.0007305685,-0.07586771,0.156087,-0.0943751,0.07743733,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Accurate,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateCorrect,PostSaccade,0.1471901,0.005730225,0.1304099,0.01448669,0.07019876,0.189486,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Accurate,PostSaccade,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateCorrect,PostReward,0.0484212,0.3657485,0.08432799,0.114782,0.1516668,0.00440181,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Accurate,PostReward,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorChoice,Baseline,0.006486398,0.9559545,-0.1685809,0.1482326,-0.1825429,0.1169936,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Baseline,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorChoice,Visual,-0.1691156,0.1469315,-0.2159706,0.06274787,-0.2601581,0.02418606,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorChoice,PostSaccade,-0.0614071,0.6007214,-0.0411506,0.7259353,-0.1374052,0.2397697,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostSaccade,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorChoice,PostReward,0.0655385,0.5764019,0.0669368,0.568275,0.06965777,0.5526166,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorChoice,Accurate,PostReward,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorTiming,Baseline,0.01571561,0.8269423,-0.05344921,0.4568555,-0.1121619,0.1175442,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Baseline,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorTiming,Visual,-0.06470685,0.3675638,-0.00297901,0.9669455,-0.0464613,0.5178604,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,Visual,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorTiming,PostSaccade,0.03615816,0.6148652,-0.02768687,0.7000813,-0.04306221,0.5489776,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostSaccade,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,AccurateErrorTiming,PostReward,-0.05935834,0.4085601,-0.05445631,0.4484063,-0.01536997,0.8306907,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,ErrorTiming,Accurate,PostReward,0,0,1,0,0,1
PAIR_0009,2,11,FEF,SC,NaN,FastCorrect,Baseline,0.0406323,0.4466462,0.001615054,0.9758784,0.02760768,0.6051841,4,none,3,0,0,0,4,none,1,0,0,0,D,2,D20130820002,Correct,Fast,Baseline,0,0,1,0,0,1
