X_unitNum,Y_unitNum,X_area,Y_area,X_visMovType,X_sortVisMov,X_errGrade,X_rewGrade,X_poorIso,Y_visMovType,Y_sortVisMov,Y_errGrade,Y_rewGrade,Y_poorIso,outcome,satCondition,epoch,rscSign,signifPlusRho,signifMinusRho,signifRsc
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,1,1
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,1,1
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,13,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,1,0,0,0
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,1,0,0,0
23,14,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,1,0,0,0
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,0,0
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,1,1
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,15,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Accurate,PostSaccade,-1,0,0,0
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Accurate,PostSaccade,-1,0,0,0
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Fast,PostSaccade,-1,0,0,0
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorChoice,Fast,PostSaccade,-1,0,1,1
23,16,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,ErrorTiming,Fast,PostSaccade,-1,0,0,0
23,17,SEF,FEF,VisMov,2,3,3,0,Other,4,0,0,0,Correct,Accurate,PostSaccade,-1,0,1,1
